title,year,rating,rank,genres,plot,directors,actors,release_date,running_time_secs,image_url
16 Blocks,2006,6.6,3677,"['Action', 'Crime', 'Drama', 'Thriller']",An aging cop is assigned the ordinary task of escorting a fast-talking witness from police custody to a courthouse. There are however forces at work trying to stop prevent them from making it.,['Richard Donner'],"['Bruce Willis', 'Mos Def', 'David Morse']",2006-03-01,6600,http://ia.media-imdb.com/images/M/MV5BMTQ1NDEwMzEwMl5BMl5BanBnXkFtZTcwNzM4MTEzMw@@._V1_SX400_.jpg
17 Again,2009,6.3,1120,"['Comedy', 'Drama', 'Fantasy', 'Romance']",About a guy whose life didn't quite turn out how he wanted it to and wishes he could go back to high school and change it. He wakes up one day and is seventeen again and gets the chance to rewrite his life.,['Burr Steers'],"['Zac Efron', 'Matthew Perry', 'Leslie Mann']",2009-03-11,6120,http://ia.media-imdb.com/images/M/MV5BMjA2NTI1Mzg3N15BMl5BanBnXkFtZTcwMjYwNjAzMg@@._V1_SX400_.jpg
1941,1979,5.7,3036,"['Action', 'Comedy', 'War']",Hysterical Californians prepare for a Japanese invasion in the days after Pearl Harbor.,['Steven Spielberg'],"['John Belushi', 'Dan Aykroyd', 'Treat Williams']",1979-12-13,7080,http://ia.media-imdb.com/images/M/MV5BMTk1NDE3Njc0MF5BMl5BanBnXkFtZTcwNTkxNDYyMQ@@._V1_SX400_.jpg
2 Days in New York,2012,5.9,3812,"['Comedy', 'Drama', 'Romance']","Manhattan couple Marion and Mingus, who each have children from prior relationships, find their comfortable family dynamic jostled by a visit from Marion's relatives.",['Julie Delpy'],"['Julie Delpy', 'Chris Rock', 'Albert Delpy']",2012-01-23,5760,http://ia.media-imdb.com/images/M/MV5BMjI5NTU2MDgyNl5BMl5BanBnXkFtZTcwNzk4NDI5Nw@@._V1_SX400_.jpg
2 Days in Paris,2007,6.8,4599,"['Comedy', 'Drama', 'Romance']","Marion and Jack try to rekindle their relationship with a visit to Paris, home of Marion's parents -- and several of her ex-boyfriends.",['Julie Delpy'],"['Julie Delpy', 'Adam Goldberg', 'Daniel Brühl']",2007-02-10,5760,http://ia.media-imdb.com/images/M/MV5BMjAyNTY3NTcyOF5BMl5BanBnXkFtZTcwMTcyMjM1MQ@@._V1_SX400_.jpg
2 Fast 2 Furious,2003,5.4,1070,"['Action', 'Crime', 'Thriller']",Brian O'Conner and childhood friend Roman Pearce are re-united by the FBI to bring down a Miami drug exporter in exchange for clear records.,['John Singleton'],"['Paul Walker', 'Tyrese Gibson', 'Cole Hauser']",2003-06-03,6420,http://ia.media-imdb.com/images/M/MV5BMTIyMDUwMDc4OF5BMl5BanBnXkFtZTYwNTY2Nzk5._V1_SX400_.jpg
2 Guns,2013,7.0,62,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']","A DEA agent and a naval intelligence officer find themselves on the run after a botched attempt to infiltrate a drug cartel. While fleeing, they learn the secret of their shaky alliance: Neither knew that the other was an undercover agent.",['Baltasar Kormákur'],"['Denzel Washington', 'Mark Wahlberg', 'Paula Patton']",2013-07-30,6540,http://ia.media-imdb.com/images/M/MV5BNTQ5MTgzNDg4OF5BMl5BanBnXkFtZTcwMjAyODEzOQ@@._V1_SX400_.jpg
20 Feet from Stardom,2013,7.3,4102,['Documentary'],"Backup singers live in a world that lies just beyond the spotlight. Their voices bring harmony to the biggest bands in popular music, but we've had no idea who these singers are or what lives they lead, until now.",['Morgan Neville'],"['Darlene Love', 'Merry Clayton', 'Lisa Fischer']",2013-01-17,5460,http://ia.media-imdb.com/images/M/MV5BMTQxNDY2NjMwNF5BMl5BanBnXkFtZTcwNzExMDg0OQ@@._V1_SX400_.jpg
200 Cartas,2013,6.5,4681,"['Comedy', 'Romance']",,['Bruno Irizarry'],"['Lin-Manuel Miranda', 'Jaime Camil', 'Dayanara Torres']",2013-06-14,0,http://ia.media-imdb.com/images/M/MV5BMTQ2Mjc0MTU1OV5BMl5BanBnXkFtZTgwNTg4ODYxMDE@._V1_SX400_.jpg
200 Cigarettes,1999,5.6,4640,"['Comedy', 'Drama', 'Romance']","A collection of twentysomethings try to cope with relationships, loneliness, desire and their individual neuroses.",['Risa Bramon Garcia'],"['Ben Affleck', 'Casey Affleck', 'Dave Chappelle']",1999-02-26,6060,http://ia.media-imdb.com/images/M/MV5BMjA2NDgwMDg4Ml5BMl5BanBnXkFtZTcwMzc1NjUyMQ@@._V1_SX400_.jpg
20000 Leagues Under the Sea,1954,7.1,3547,"['Adventure', 'Drama', 'Fantasy', 'Sci-Fi']","A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",['Richard Fleischer'],"['Kirk Douglas', 'James Mason', 'Paul Lukas']",1954-12-23,7620,http://ia.media-imdb.com/images/M/MV5BMTUzNjgyOTIzNV5BMl5BanBnXkFtZTcwNzY3NTc1Nw@@._V1_SX400_.jpg
2001: A Space Odyssey,1968,8.3,697,"['Adventure', 'Mystery', 'Sci-Fi']","Humanity finds a mysterious, obviously artificial, object buried beneath the Lunar surface and, with the intelligent computer H.A.L. 9000, sets off on a quest.",['Stanley Kubrick'],"['Keir Dullea', 'Gary Lockwood', 'William Sylvester']",1968-04-02,9600,http://ia.media-imdb.com/images/M/MV5BNDYyMDgxNDQ5Nl5BMl5BanBnXkFtZTcwMjc1ODg3OA@@._V1_SX400_.jpg
2010,1984,6.6,3747,"['Sci-Fi', 'Thriller']",A joint U.S.-Soviet expedition is sent to Jupiter to learn what happened to the Discovery.,['Peter Hyams'],"['Roy Scheider', 'John Lithgow', 'Helen Mirren']",1984-12-07,6960,http://ia.media-imdb.com/images/M/MV5BMTI0MDkwMDY0MV5BMl5BanBnXkFtZTYwMzU1Mjc4._V1_SX400_.jpg
2012,2009,5.7,992,"['Action', 'Adventure', 'Sci-Fi']",A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,['Roland Emmerich'],"['John Cusack', 'Thandie Newton', 'Chiwetel Ejiofor']",2009-11-11,9480,http://ia.media-imdb.com/images/M/MV5BMTY0MjEyODQzMF5BMl5BanBnXkFtZTcwMTczMjQ4Mg@@._V1_SX400_.jpg
2046,2004,7.4,2892,"['Drama', 'Fantasy', 'Romance', 'Sci-Fi']",,['Kar Wai Wong'],"['Tony Leung Chiu Wai', 'Ziyi Zhang', 'Faye Wong']",2004-05-20,7740,http://ia.media-imdb.com/images/M/MV5BMzY1MjkzNDY4MF5BMl5BanBnXkFtZTcwMzE1NzAzMQ@@._V1_SX400_.jpg
21,2008,6.7,1255,"['Crime', 'Drama', 'Thriller']","""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings.",['Robert Luketic'],"['Jim Sturgess', 'Kate Bosworth', 'Kevin Spacey']",2008-03-07,7380,http://ia.media-imdb.com/images/M/MV5BMjAyNTU5OTcxOV5BMl5BanBnXkFtZTcwMDEyNjM2MQ@@._V1_SX400_.jpg
21 & Over,2013,5.6,432,['Comedy'],"The night before his big medical school interview, a promising student celebrates his 21st birthday with his two best friends.","['Jon Lucas', 'Scott Moore']","['Miles Teller', 'Justin Chon', 'Jonathan Keltz']",2013-02-28,5580,http://ia.media-imdb.com/images/M/MV5BMjI0NTExOTI0N15BMl5BanBnXkFtZTcwMDA0ODE3OA@@._V1_SX400_.jpg
21 Grams,2003,7.7,1745,"['Crime', 'Drama', 'Thriller']","A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.",['Alejandro González Iñárritu'],"['Sean Penn', 'Benicio Del Toro', 'Naomi Watts']",2003-09-05,7440,http://ia.media-imdb.com/images/M/MV5BMjA4MjI2OTM5N15BMl5BanBnXkFtZTcwNDA1NjUzMw@@._V1_SX400_.jpg
21 Jump Street,2012,7.1,186,"['Action', 'Comedy', 'Crime']",A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,"['Phil Lord', 'Chris Miller']","['Jonah Hill', 'Channing Tatum', 'Ice Cube']",2012-03-12,6540,http://ia.media-imdb.com/images/M/MV5BMTc3NzQ3OTg3NF5BMl5BanBnXkFtZTcwMjk5OTcxNw@@._V1_SX400_.jpg
22 Jump Street,2014,0.0,546,"['Action', 'Comedy']",Plot unknown.,"['Phil Lord', 'Chris Miller']","['Channing Tatum', 'Jonah Hill', 'Ice Cube']",2014-06-05,0,
24 Hour Party People,2002,7.2,4801,"['Biography', 'Comedy', 'Drama', 'Music']","In 1976, Tony Wilson sets up Factory Records and brings Manchester's music to the world.",['Michael Winterbottom'],"['Steve Coogan', 'Lennie James', 'John Thomson']",2002-02-13,7020,http://ia.media-imdb.com/images/M/MV5BMTM3ODYwOTMwOF5BMl5BanBnXkFtZTYwODQ1Mzk5._V1_SX400_.jpg
25th Hour,2002,7.7,2019,"['Crime', 'Drama']","Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term.",['Spike Lee'],"['Edward Norton', 'Barry Pepper', 'Philip Seymour Hoffman']",2002-12-16,8100,http://ia.media-imdb.com/images/M/MV5BMTUxNDEyNjE4OF5BMl5BanBnXkFtZTYwNTMyNjU3._V1_SX400_.jpg
27 Dresses,2008,6.0,1340,"['Comedy', 'Romance']","After serving as a bridesmaid 27 times, a young woman wrestles with the idea of standing by her sister's side as her sibling marries the man she's secretly in love with.",['Anne Fletcher'],"['Katherine Heigl', 'James Marsden', 'Malin Akerman']",2008-01-09,6660,http://ia.media-imdb.com/images/M/MV5BMzI5OTM0OTg2MF5BMl5BanBnXkFtZTcwNjAyMTU1MQ@@._V1_SX400_.jpg
28 Days,2000,5.8,3350,"['Comedy', 'Drama']",A big-city newspaper columnist is forced to enter a drug and alcohol rehab center after ruining her sister's wedding and crashing a stolen limousine.,['Betty Thomas'],"['Sandra Bullock', 'Viggo Mortensen', 'Dominic West']",2000-02-08,6180,http://ia.media-imdb.com/images/M/MV5BMTYwMDA1NjAxMF5BMl5BanBnXkFtZTYwODc3MTU3._V1_SX400_.jpg
28 Days Later...,2002,7.6,628,"['Horror', 'Sci-Fi', 'Thriller']","Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.",['Danny Boyle'],"['Cillian Murphy', 'Naomie Harris', 'Christopher Eccleston']",2002-11-01,6780,http://ia.media-imdb.com/images/M/MV5BNzM2NDYwNjM3OF5BMl5BanBnXkFtZTYwNDYxNzk5._V1_SX400_.jpg
28 Weeks Later,2007,7.0,407,"['Horror', 'Sci-Fi', 'Thriller']","Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes to plan.",['Juan Carlos Fresnadillo'],"['Jeremy Renner', 'Rose Byrne', 'Robert Carlyle']",2007-04-26,6000,http://ia.media-imdb.com/images/M/MV5BMTUxMjc2MTcxNV5BMl5BanBnXkFtZTcwMzgzOTY0MQ@@._V1_SX400_.jpg
3 Geezers!,2013,3.2,4763,['Comedy'],,['Michelle Schumacher'],"['J.K. Simmons', 'Tim Allen', 'Scott Caan']",2013-05-22,4860,http://ia.media-imdb.com/images/M/MV5BOTgxNjIzNzcxM15BMl5BanBnXkFtZTcwNjAxMjE0OQ@@._V1_SX400_.jpg
3 Idiots,2009,8.2,1879,"['Comedy', 'Drama', 'Romance']","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",['Rajkumar Hirani'],"['Aamir Khan', 'Madhavan', 'Mona Singh']",2009-12-23,10200,http://ia.media-imdb.com/images/M/MV5BMTMyOTg0ODQ1OF5BMl5BanBnXkFtZTcwNjc0NTMwNQ@@._V1_SX400_.jpg
3 Men and a Baby,1987,5.7,4259,"['Comedy', 'Drama', 'Family']",Three bachelors find themselves forced to take care of a baby left by one of the guys' girlfriends.,['Leonard Nimoy'],"['Tom Selleck', 'Steve Guttenberg', 'Ted Danson']",1987-11-23,6120,http://ia.media-imdb.com/images/M/MV5BMTkzODMxMzc5OF5BMl5BanBnXkFtZTcwMTI2OTMyMQ@@._V1_SX400_.jpg
3 Ninjas,1992,4.7,4140,"['Action', 'Comedy', 'Family', 'Sport']",,['Jon Turteltaub'],"['Victor Wong', 'Michael Treanor', 'Max Elliott Slade']",1992-08-07,5040,http://ia.media-imdb.com/images/M/MV5BNjk4ODU3ODM0Nl5BMl5BanBnXkFtZTcwMzk2Mjg3NA@@._V1_SX400_.jpg
30 Days of Night,2007,6.5,1090,"['Horror', 'Thriller']","After an Alaskan town is plunged into darkness for a month, it is attacked by a bloodthirsty gang of vampires.",['David Slade'],"['Josh Hartnett', 'Melissa George', 'Danny Huston']",2007-10-16,6780,http://ia.media-imdb.com/images/M/MV5BMjE2MDE5ODIxMF5BMl5BanBnXkFtZTcwMjMyMTU1MQ@@._V1_SX400_.jpg
30 Minutes or Less,2011,6.1,1409,"['Action', 'Comedy', 'Crime']","Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and inform him that he has mere hours to rob a bank or else...",['Ruben Fleischer'],"['Jesse Eisenberg', 'Danny McBride', 'Nick Swardson']",2011-08-12,4980,http://ia.media-imdb.com/images/M/MV5BMTM5NjM0ODY1NF5BMl5BanBnXkFtZTcwMjk5NjI0Ng@@._V1_SX400_.jpg
300,2006,7.7,164,"['Action', 'Fantasy', 'History', 'War']",King Leonidas and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,['Zack Snyder'],"['Gerard Butler', 'Lena Headey', 'David Wenham']",2006-12-09,7020,http://ia.media-imdb.com/images/M/MV5BMjAzNTkzNjcxNl5BMl5BanBnXkFtZTYwNDA4NjE3._V1_SX400_.jpg
300: Rise of an Empire,2014,0.0,179,"['Action', 'Drama', 'War']","The Greek general Themistocles battles an invading army of Persians under the mortal-turned-god, Xerxes.",['Noam Murro'],"['Sullivan Stapleton', 'Rodrigo Santoro', 'Eva Green']",2014-03-05,0,http://ia.media-imdb.com/images/M/MV5BMTEwNTU2MjAwMDdeQTJeQWpwZ15BbWU3MDk2Njc2Njk@._V1_SX400_.jpg
3096 Tage,2013,5.6,2270,"['Crime', 'Drama']",A young Austrian girl is kidnapped and held in captivity for eight years. Based on the real-life case of Natascha Kampusch.,['Sherry Hormann'],"['Antonia Campbell-Hughes', 'Thure Lindhardt', 'Amelia Pidgeon']",2013-02-28,6660,
360,2011,5.9,2138,"['Drama', 'Romance']",A dramatic thriller that weaves together the stories of an array of people from disparate social backgrounds through their intersecting relationships.,['Fernando Meirelles'],"['Rachel Weisz', 'Jude Law', 'Anthony Hopkins']",2011-09-09,6600,http://ia.media-imdb.com/images/M/MV5BMTUwOTE5NjA5MV5BMl5BanBnXkFtZTcwMTcyNjk4Nw@@._V1_SX400_.jpg
37°2 le matin,1986,7.2,4834,"['Drama', 'Romance']",,['Jean-Jacques Beineix'],"['Jean-Hugues Anglade', 'Béatrice Dalle', 'Gérard Darmon']",1986-04-09,7200,http://ia.media-imdb.com/images/M/MV5BMTc1MTc0ODcxM15BMl5BanBnXkFtZTcwNDIzMzMzMQ@@._V1_SX400_.jpg
3:10 to Yuma,2007,7.7,1262,"['Adventure', 'Crime', 'Drama', 'Western']",A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,['James Mangold'],"['Russell Crowe', 'Christian Bale', 'Ben Foster']",2007-08-21,7320,http://ia.media-imdb.com/images/M/MV5BODE0NTcxNTQzNF5BMl5BanBnXkFtZTcwMzczOTIzMw@@._V1_SX400_.jpg
3D rou pu tuan zhi ji le bao jian,2011,4.2,4271,['Drama'],,['Christopher Sun Lap Key'],"['Hiro Hayama', 'Leni Lan', 'Saori Hara']",2011-04-14,7740,http://ia.media-imdb.com/images/M/MV5BMTgzMTgyNDI0OF5BMl5BanBnXkFtZTcwMjkzNzExNg@@._V1_SX400_.jpg
4.3.2.1,2010,5.7,4041,"['Crime', 'Thriller']",,"['Noel Clarke', 'Mark Davis']","['Emma Roberts', 'Tamsin Egerton', 'Ophelia Lovibond']",2010-06-02,7020,http://ia.media-imdb.com/images/M/MV5BMjA5NDA4MjM5Ml5BMl5BanBnXkFtZTcwOTIwNTIzMw@@._V1_SX400_.jpg
40 Days and 40 Nights,2002,5.5,2651,"['Comedy', 'Romance', 'Drama']","After a brutal break-up, a young man vows to stay celibate during the forty days of Lent, but finds the girl of his dreams and is unable to do anything about it.",['Michael Lehmann'],"['Josh Hartnett', 'Shannyn Sossamon', 'Paulo Costanzo']",2002-03-01,5760,http://ia.media-imdb.com/images/M/MV5BMTIxMjIwMDE1Ml5BMl5BanBnXkFtZTcwNjAxOTAyMQ@@._V1_SX400_.jpg
40 Days and Nights,2012,2.5,4829,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']","When a colossal tectonic shift causes the sea level to start rising, a microbiologist gathers the DNA of as many species as she can, while the military creates an ""ark"" in a desperate attempt to preserve life on Earth.",['Peter Geiger'],"['Alex Carter', 'Monica Keena', 'Alex Arleo']",2012-11-27,5160,http://ia.media-imdb.com/images/M/MV5BMTM3MjE3NjkzOV5BMl5BanBnXkFtZTcwMDI3OTM4OA@@._V1_SX400_.jpg
42,2013,7.5,229,"['Biography', 'Drama', 'Sport']",The life story of Jackie Robinson and his history-making signing with the Brooklyn Dodgers under the guidance of team executive Branch Rickey.,['Brian Helgeland'],"['Chadwick Boseman', 'T.R. Knight', 'Harrison Ford']",2013-04-12,7680,http://ia.media-imdb.com/images/M/MV5BMTQwMDU4MDI3MV5BMl5BanBnXkFtZTcwMjU1NDgyOQ@@._V1_SX400_.jpg
44 Inch Chest,2009,5.7,4568,"['Crime', 'Drama']",A jealous husband and his friends plot the kidnapping of his wife's lover with the intention of restoring his wounded ego.,['Malcolm Venville'],"['Ray Winstone', 'Ian McShane', 'John Hurt']",2009-10-19,5700,http://ia.media-imdb.com/images/M/MV5BMTcyMTQwNzcxNF5BMl5BanBnXkFtZTcwMTI3NzQyMw@@._V1_SX400_.jpg
47 Ronin,2013,0.0,391,"['Action', 'Adventure', 'Fantasy']",A band of samurai set out to avenge the death and dishonor of their master at the hands of a ruthless shogun.,['Carl Rinsch'],"['Keanu Reeves', 'Hiroyuki Sanada', 'Kô Shibasaki']",2013-12-06,0,http://ia.media-imdb.com/images/M/MV5BMTA3NDYyMDgwNTVeQTJeQWpwZ15BbWU3MDUxMzcyOTk@._V1_SX400_.jpg
48 Hrs.,1982,6.9,3657,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']","A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer.",['Walter Hill'],"['Nick Nolte', 'Eddie Murphy', ""Annette O'Toole""]",1982-12-08,5760,http://ia.media-imdb.com/images/M/MV5BMTQ5MzM4NTc1OV5BMl5BanBnXkFtZTcwNzE1NjkxMQ@@._V1_SX400_.jpg
4: Rise of the Silver Surfer,2007,5.6,1888,"['Action', 'Fantasy', 'Sci-Fi', 'Thriller']",The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.,['Tim Story'],"['Ioan Gruffudd', 'Jessica Alba', 'Chris Evans']",2007-06-12,5520,http://ia.media-imdb.com/images/M/MV5BMTgxMDc2NzA4MV5BMl5BanBnXkFtZTcwOTI1NTY0MQ@@._V1_SX400_.jpg
